Facilities_id,Facilities_mode,Facilities_age,Facilities_height,Facilities_location,Employee_id
1,false,7,,,
2,false,11,1575,North,2
3,false,6,928,South,3
4,true,3,2009,South,4
5,false,8,1797,North,5
6,false,8,775,East,6
7,false,14,,,
8,false,7,631,North,8
9,true,13,,,
10,true,12,,,
11,false,7,1915,North,11
12,false,10,710,East,12
13,true,9,1086,North,13
14,false,14,569,South,14
15,true,4,621,North,15
16,true,9,422,South,16
17,true,2,838,North,17
18,false,10,710,West,18
19,true,6,721,West,19
20,false,4,656,South,20
21,true,14,,,
22,false,4,1238,East,22
23,true,7,426,West,23
24,false,4,,,
25,true,14,1442,West,25
26,true,3,172,South,26
27,true,11,827,North,27
28,false,9,1125,East,28
29,false,14,1672,North,29
30,true,9,436,South,30
31,true,14,1917,North,31
32,true,2,325,North,32
33,false,13,2042,South,33
34,true,9,,,
35,true,3,349,East,35
36,true,5,677,East,36
37,false,12,1585,West,37
38,false,12,344,South,38
39,false,3,1763,West,39
40,true,6,,,
41,false,12,1562,North,41
42,true,6,269,North,42
43,true,2,1349,North,43
44,false,6,,,
45,true,3,572,South,45
46,true,4,141,East,46
47,false,3,1555,North,47
48,true,10,403,West,48
49,true,3,337,East,49
50,true,13,2038,North,50
51,true,3,1620,North,51
52,true,2,829,West,52
53,false,13,1153,North,53
54,false,5,877,West,54
55,true,5,1661,East,55
56,true,4,,,
57,false,7,1698,South,57
58,true,13,,,
59,true,2,862,South,59
60,false,3,1449,North,60
61,true,8,941,East,61
62,false,2,946,South,62
63,true,11,974,South,63
64,false,8,1423,South,64
65,false,7,1148,South,65
66,false,7,802,South,66
67,true,6,694,East,67
68,false,5,1621,West,68
69,false,3,718,South,69
70,true,3,1155,South,70
71,true,3,1057,West,71
72,false,3,1465,North,72
73,true,6,1327,West,73
74,false,3,,,
75,true,12,313,South,75
76,true,11,521,South,76
77,false,5,710,South,77
78,false,11,759,East,78
79,false,3,,,
80,true,4,906,North,80
81,true,14,193,North,81
82,false,13,2014,North,82
83,false,6,1807,North,83
84,true,7,771,East,84
85,true,4,1302,West,85
86,true,8,121,South,86
87,true,13,1517,North,87
88,true,6,644,North,88
89,true,11,,,
90,true,14,1728,North,90
91,false,2,1434,East,91
92,false,4,1656,North,92
93,false,13,1466,South,93
94,true,4,2047,East,94
95,false,11,531,South,95
96,false,9,781,West,96
97,false,11,1150,South,97
98,true,10,1592,South,98
99,false,8,,,
100,false,8,464,South,100
101,false,2,1662,West,101
102,true,14,1618,North,102
103,false,10,962,East,103
104,true,14,1439,North,104
105,true,14,1792,West,105
106,true,4,217,North,106
107,false,7,1281,South,107
108,false,10,1843,East,108
109,true,9,369,West,109
110,true,4,1298,South,110
111,false,6,,,
112,true,14,1752,South,112
113,false,14,693,West,113
114,true,9,1345,South,114
115,false,14,1605,North,115
116,false,6,893,South,116
117,false,6,412,West,117
118,true,8,372,West,118
119,true,9,669,North,119
120,true,2,2044,West,120
121,false,4,979,West,121
122,false,8,879,South,122
123,true,12,629,West,123
124,true,12,1365,North,124
125,true,7,1773,East,125
126,false,11,133,East,126
127,true,2,284,South,127
128,true,9,1675,North,128
129,false,3,579,North,129
130,false,4,883,South,130
131,true,13,1365,South,131
132,false,5,554,South,132
133,false,14,1855,North,133
134,true,5,,,
135,true,9,,,
136,true,7,1353,East,136
137,false,14,,,
138,true,10,159,South,138
139,true,11,1623,North,139
140,true,4,1281,East,140
141,false,3,1032,North,141
142,true,5,570,South,142
143,false,6,1563,South,143
144,true,14,1323,East,144
145,true,13,787,North,145
146,true,4,1689,West,146
147,false,8,1148,East,147
148,true,4,167,South,148
149,true,11,1118,West,149
150,true,12,473,East,150
151,true,14,1927,North,151
152,false,8,617,South,152
153,true,14,2043,East,153
154,true,2,1918,East,154
155,false,10,277,North,155
156,true,3,,,
157,true,9,350,West,157
158,false,11,859,West,158
159,false,12,829,South,159
160,false,8,722,West,160
161,true,7,1106,South,161
162,false,6,1996,North,162
163,false,5,,,
164,true,6,,,
165,false,2,,,
166,false,5,1908,East,166
167,true,12,,,
168,false,8,,,
169,false,9,855,North,169
170,false,9,401,South,170
171,true,11,1008,East,171
172,true,7,1156,West,172
173,true,6,1113,West,173
174,false,3,530,West,174
175,false,10,133,West,175
176,false,14,166,West,176
177,true,8,1815,East,177
178,false,8,2029,East,178
179,true,2,1766,West,179
180,true,14,842,West,180
181,true,10,1977,North,181
182,true,9,171,East,182
183,true,13,1498,North,183
184,true,4,1145,West,184
185,true,11,697,East,185
186,true,3,1399,East,186
187,false,13,249,South,187
188,false,13,237,West,188
189,true,9,1109,East,189
190,true,11,1225,North,190
191,false,8,394,East,191
192,true,9,1042,North,192
193,false,5,412,South,193
194,false,5,1451,North,194
195,false,3,1594,East,195
196,true,2,916,South,196
197,true,5,1351,East,197
198,false,6,268,South,198
199,false,2,1808,West,199
200,true,9,1203,West,200
201,false,6,1921,North,201
202,false,11,1882,West,202
203,false,6,1950,North,203
204,true,7,1813,North,204
205,false,14,1773,East,205
206,true,4,949,South,206
207,true,2,,,
208,false,4,847,West,208
209,true,13,2003,North,209
210,false,9,1408,South,210
211,false,8,1167,West,211
212,false,13,965,East,212
213,true,3,1984,North,213
214,true,13,,,
215,false,10,1682,South,215
216,false,5,1286,West,216
217,false,10,926,South,217
218,false,14,1036,South,218
219,true,5,,,
220,true,9,1477,West,220
221,true,2,550,West,221
222,true,6,557,East,222
223,false,11,1219,East,223
224,false,2,1602,North,224
225,true,3,662,East,225
226,false,6,1631,East,226
227,false,8,377,East,227
228,false,2,,,
229,false,3,1285,North,229
230,false,6,400,East,230
231,false,10,167,East,231
232,true,10,1499,West,232
233,false,3,,,
234,false,3,1606,North,234
235,false,12,,,
236,false,7,841,East,236
237,true,3,1589,West,237
238,true,2,1896,South,238
239,false,8,1601,North,239
240,true,11,1922,East,240
241,false,12,,,
242,false,4,684,East,242
